# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3965.0341 8.5740e+13 8.5740e+13
3965.0443 8.5740e+13 8.5740e+13
3965.0545 8.5741e+13 8.5741e+13
3965.0648 8.5741e+13 8.5741e+13
3965.0750 8.5742e+13 8.5742e+13
3965.0852 8.5742e+13 8.5742e+13
3965.0954 8.5743e+13 8.5743e+13
3965.1057 8.5743e+13 8.5743e+13
3965.1159 8.5744e+13 8.5744e+13
3965.1261 8.5744e+13 8.5744e+13
3965.1363 8.5745e+13 8.5745e+13
3965.1466 8.5745e+13 8.5745e+13
3965.1568 8.5746e+13 8.5746e+13
3965.1670 8.5746e+13 8.5746e+13
3965.1772 8.5747e+13 8.5747e+13
3965.1875 8.5747e+13 8.5747e+13
3965.1977 8.5748e+13 8.5748e+13
3965.2079 8.5748e+13 8.5748e+13
3965.2181 8.5749e+13 8.5749e+13
3965.2284 8.5749e+13 8.5749e+13
3965.2386 8.5750e+13 8.5750e+13
3965.2488 8.5750e+13 8.5750e+13
3965.2590 8.5751e+13 8.5751e+13
3965.2692 8.5751e+13 8.5751e+13
3965.2795 8.5752e+13 8.5752e+13
3965.2897 8.5752e+13 8.5752e+13
3965.2999 8.5753e+13 8.5753e+13
3965.3101 8.5753e+13 8.5753e+13
3965.3204 8.5754e+13 8.5754e+13
3965.3306 8.5754e+13 8.5754e+13
3965.3408 8.5755e+13 8.5755e+13
3965.3510 8.5755e+13 8.5755e+13
3965.3613 8.5756e+13 8.5756e+13
3965.3715 8.5756e+13 8.5756e+13
3965.3817 8.5757e+13 8.5757e+13
3965.3919 8.5757e+13 8.5757e+13
3965.4022 8.5758e+13 8.5758e+13
3965.4124 8.5758e+13 8.5758e+13
3965.4226 8.5759e+13 8.5759e+13
3965.4328 8.5759e+13 8.5759e+13
3965.4431 8.5760e+13 8.5760e+13
3965.4533 8.5760e+13 8.5760e+13
3965.4635 8.5761e+13 8.5761e+13
3965.4737 8.5761e+13 8.5761e+13
3965.4839 8.5762e+13 8.5762e+13
3965.4942 8.5762e+13 8.5762e+13
3965.5044 8.5763e+13 8.5763e+13
3965.5146 8.5763e+13 8.5763e+13
3965.5248 8.5764e+13 8.5764e+13
3965.5351 8.5764e+13 8.5764e+13
3965.5453 8.5765e+13 8.5765e+13
3965.5555 8.5765e+13 8.5765e+13
3965.5657 8.5766e+13 8.5766e+13
3965.5760 8.5766e+13 8.5766e+13
3965.5862 8.5767e+13 8.5767e+13
3965.5964 8.5767e+13 8.5767e+13
3965.6066 8.5768e+13 8.5768e+13
3965.6169 8.5768e+13 8.5768e+13
3965.6271 8.5769e+13 8.5769e+13
3965.6373 8.5769e+13 8.5769e+13
3965.6475 8.5770e+13 8.5770e+13
3965.6578 8.5770e+13 8.5770e+13
3965.6680 8.5771e+13 8.5771e+13
3965.6782 8.5771e+13 8.5771e+13
3965.6884 8.5772e+13 8.5772e+13
3965.6986 8.5772e+13 8.5772e+13
3965.7089 8.5773e+13 8.5773e+13
3965.7191 8.5773e+13 8.5773e+13
3965.7293 8.5774e+13 8.5774e+13
3965.7395 8.5774e+13 8.5774e+13
3965.7498 8.5775e+13 8.5775e+13
3965.7600 8.5775e+13 8.5775e+13
3965.7702 8.5776e+13 8.5776e+13
3965.7804 8.5776e+13 8.5776e+13
3965.7907 8.5777e+13 8.5777e+13
3965.8009 8.5777e+13 8.5777e+13
3965.8111 8.5778e+13 8.5778e+13
3965.8213 8.5778e+13 8.5778e+13
3965.8316 8.5779e+13 8.5779e+13
3965.8418 8.5779e+13 8.5779e+13
3965.8520 8.5780e+13 8.5780e+13
3965.8622 8.5780e+13 8.5780e+13
3965.8725 8.5781e+13 8.5781e+13
3965.8827 8.5781e+13 8.5781e+13
3965.8929 8.5782e+13 8.5782e+13
3965.9031 8.5782e+13 8.5782e+13
3965.9133 8.5783e+13 8.5783e+13
3965.9236 8.5783e+13 8.5783e+13
3965.9338 8.5784e+13 8.5784e+13
3965.9440 8.5784e+13 8.5784e+13
3965.9542 8.5785e+13 8.5785e+13
3965.9645 8.5785e+13 8.5785e+13
3965.9747 8.5786e+13 8.5786e+13
3965.9849 8.5786e+13 8.5786e+13
3965.9951 8.5787e+13 8.5787e+13
3966.0054 8.5787e+13 8.5787e+13
3966.0156 8.5788e+13 8.5788e+13
3966.0258 8.5788e+13 8.5788e+13
3966.0360 8.5789e+13 8.5789e+13
3966.0463 8.5789e+13 8.5789e+13
3966.0565 8.5790e+13 8.5790e+13
3966.0667 8.5790e+13 8.5790e+13
3966.0769 8.5791e+13 8.5791e+13
3966.0872 8.5791e+13 8.5791e+13
3966.0974 8.5792e+13 8.5792e+13
3966.1076 8.5792e+13 8.5792e+13
3966.1178 8.5793e+13 8.5793e+13
3966.1280 8.5793e+13 8.5793e+13
3966.1383 8.5794e+13 8.5794e+13
3966.1485 8.5794e+13 8.5794e+13
3966.1587 8.5795e+13 8.5795e+13
3966.1689 8.5795e+13 8.5795e+13
3966.1792 8.5796e+13 8.5796e+13
3966.1894 8.5796e+13 8.5796e+13
3966.1996 8.5797e+13 8.5797e+13
3966.2098 8.5797e+13 8.5797e+13
3966.2201 8.5798e+13 8.5798e+13
3966.2303 8.5798e+13 8.5798e+13
3966.2405 8.5799e+13 8.5799e+13
3966.2507 8.5799e+13 8.5799e+13
3966.2610 8.5800e+13 8.5800e+13
3966.2712 8.5800e+13 8.5800e+13
3966.2814 8.5801e+13 8.5801e+13
3966.2916 8.5801e+13 8.5801e+13
3966.3019 8.5802e+13 8.5802e+13
