# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4095.0719 9.1891e+13 9.1891e+13
4095.0825 9.1892e+13 9.1892e+13
4095.0930 9.1892e+13 9.1892e+13
4095.1036 9.1893e+13 9.1893e+13
4095.1141 9.1893e+13 9.1893e+13
4095.1247 9.1894e+13 9.1894e+13
4095.1353 9.1894e+13 9.1894e+13
4095.1458 9.1895e+13 9.1895e+13
4095.1564 9.1895e+13 9.1895e+13
4095.1670 9.1896e+13 9.1896e+13
4095.1775 9.1896e+13 9.1896e+13
4095.1881 9.1897e+13 9.1897e+13
4095.1987 9.1897e+13 9.1897e+13
4095.2092 9.1898e+13 9.1898e+13
4095.2198 9.1898e+13 9.1898e+13
4095.2303 9.1899e+13 9.1899e+13
4095.2409 9.1899e+13 9.1899e+13
4095.2515 9.1900e+13 9.1899e+13
4095.2620 9.1900e+13 9.1900e+13
4095.2726 9.1901e+13 9.1900e+13
4095.2832 9.1901e+13 9.1901e+13
4095.2937 9.1901e+13 9.1901e+13
4095.3043 9.1902e+13 9.1902e+13
4095.3148 9.1902e+13 9.1902e+13
4095.3254 9.1903e+13 9.1903e+13
4095.3360 9.1903e+13 9.1903e+13
4095.3465 9.1904e+13 9.1904e+13
4095.3571 9.1904e+13 9.1904e+13
4095.3677 9.1905e+13 9.1905e+13
4095.3782 9.1905e+13 9.1905e+13
4095.3888 9.1906e+13 9.1906e+13
4095.3993 9.1906e+13 9.1906e+13
4095.4099 9.1907e+13 9.1907e+13
4095.4205 9.1907e+13 9.1907e+13
4095.4310 9.1908e+13 9.1908e+13
4095.4416 9.1908e+13 9.1908e+13
4095.4522 9.1909e+13 9.1909e+13
4095.4627 9.1909e+13 9.1909e+13
4095.4733 9.1910e+13 9.1910e+13
4095.4838 9.1910e+13 9.1910e+13
4095.4944 9.1911e+13 9.1911e+13
4095.5050 9.1911e+13 9.1911e+13
4095.5155 9.1912e+13 9.1912e+13
4095.5261 9.1912e+13 9.1912e+13
4095.5367 9.1913e+13 9.1912e+13
4095.5472 9.1913e+13 9.1913e+13
4095.5578 9.1914e+13 9.1913e+13
4095.5683 9.1914e+13 9.1914e+13
4095.5789 9.1914e+13 9.1914e+13
4095.5895 9.1915e+13 9.1915e+13
4095.6000 9.1915e+13 9.1915e+13
4095.6106 9.1916e+13 9.1916e+13
4095.6212 9.1916e+13 9.1916e+13
4095.6317 9.1917e+13 9.1917e+13
4095.6423 9.1917e+13 9.1917e+13
4095.6528 9.1918e+13 9.1918e+13
4095.6634 9.1918e+13 9.1918e+13
4095.6740 9.1919e+13 9.1919e+13
4095.6845 9.1919e+13 9.1919e+13
4095.6951 9.1920e+13 9.1920e+13
4095.7057 9.1920e+13 9.1920e+13
4095.7162 9.1921e+13 9.1921e+13
4095.7268 9.1921e+13 9.1921e+13
4095.7373 9.1922e+13 9.1922e+13
4095.7479 9.1922e+13 9.1922e+13
4095.7585 9.1923e+13 9.1923e+13
4095.7690 9.1923e+13 9.1923e+13
4095.7796 9.1924e+13 9.1924e+13
4095.7902 9.1924e+13 9.1924e+13
4095.8007 9.1925e+13 9.1925e+13
4095.8113 9.1925e+13 9.1925e+13
4095.8219 9.1926e+13 9.1925e+13
4095.8324 9.1926e+13 9.1926e+13
4095.8430 9.1927e+13 9.1926e+13
4095.8535 9.1927e+13 9.1927e+13
4095.8641 9.1927e+13 9.1927e+13
4095.8747 9.1928e+13 9.1928e+13
4095.8852 9.1928e+13 9.1928e+13
4095.8958 9.1929e+13 9.1929e+13
4095.9064 9.1929e+13 9.1929e+13
4095.9169 9.1930e+13 9.1930e+13
4095.9275 9.1930e+13 9.1930e+13
4095.9380 9.1931e+13 9.1931e+13
4095.9486 9.1931e+13 9.1931e+13
4095.9592 9.1932e+13 9.1932e+13
4095.9697 9.1932e+13 9.1932e+13
4095.9803 9.1933e+13 9.1933e+13
4095.9909 9.1933e+13 9.1933e+13
4096.0014 9.1934e+13 9.1934e+13
4096.0120 9.1934e+13 9.1934e+13
4096.0225 9.1935e+13 9.1935e+13
4096.0331 9.1935e+13 9.1935e+13
4096.0437 9.1936e+13 9.1936e+13
4096.0542 9.1936e+13 9.1936e+13
4096.0648 9.1937e+13 9.1937e+13
4096.0754 9.1937e+13 9.1937e+13
4096.0859 9.1938e+13 9.1938e+13
4096.0965 9.1938e+13 9.1938e+13
4096.1070 9.1939e+13 9.1938e+13
4096.1176 9.1939e+13 9.1939e+13
4096.1282 9.1940e+13 9.1939e+13
4096.1387 9.1940e+13 9.1940e+13
4096.1493 9.1940e+13 9.1940e+13
4096.1599 9.1941e+13 9.1941e+13
4096.1704 9.1941e+13 9.1941e+13
4096.1810 9.1942e+13 9.1942e+13
4096.1915 9.1942e+13 9.1942e+13
4096.2021 9.1943e+13 9.1943e+13
4096.2127 9.1943e+13 9.1943e+13
4096.2232 9.1944e+13 9.1944e+13
4096.2338 9.1944e+13 9.1944e+13
4096.2444 9.1945e+13 9.1945e+13
4096.2549 9.1945e+13 9.1945e+13
4096.2655 9.1946e+13 9.1946e+13
4096.2760 9.1946e+13 9.1946e+13
4096.2866 9.1947e+13 9.1947e+13
4096.2972 9.1947e+13 9.1947e+13
4096.3077 9.1948e+13 9.1948e+13
4096.3183 9.1948e+13 9.1948e+13
4096.3289 9.1949e+13 9.1949e+13
4096.3394 9.1949e+13 9.1949e+13
4096.3500 9.1950e+13 9.1950e+13
4096.3605 9.1950e+13 9.1950e+13
4096.3711 9.1951e+13 9.1951e+13
4096.3817 9.1951e+13 9.1951e+13
4096.3922 9.1952e+13 9.1951e+13
4096.4028 9.1952e+13 9.1952e+13
4096.4134 9.1953e+13 9.1952e+13
4096.4239 9.1953e+13 9.1953e+13
4096.4345 9.1953e+13 9.1953e+13
4096.4451 9.1954e+13 9.1954e+13
4096.4556 9.1954e+13 9.1954e+13
4096.4662 9.1955e+13 9.1955e+13
4096.4767 9.1955e+13 9.1955e+13
4096.4873 9.1956e+13 9.1956e+13
4096.4979 9.1956e+13 9.1956e+13
4096.5084 9.1957e+13 9.1957e+13
4096.5190 9.1957e+13 9.1957e+13
4096.5296 9.1958e+13 9.1958e+13
4096.5401 9.1958e+13 9.1958e+13
4096.5507 9.1959e+13 9.1959e+13
4096.5612 9.1959e+13 9.1959e+13
4096.5718 9.1960e+13 9.1960e+13
4096.5824 9.1960e+13 9.1960e+13
4096.5929 9.1961e+13 9.1961e+13
4096.6035 9.1961e+13 9.1961e+13
4096.6141 9.1962e+13 9.1962e+13
4096.6246 9.1962e+13 9.1962e+13
4096.6352 9.1963e+13 9.1963e+13
4096.6457 9.1963e+13 9.1963e+13
4096.6563 9.1964e+13 9.1964e+13
4096.6669 9.1964e+13 9.1964e+13
4096.6774 9.1965e+13 9.1964e+13
4096.6880 9.1965e+13 9.1965e+13
4096.6986 9.1966e+13 9.1965e+13
