# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4330.2039 6.8506e+14 5.9258e+14
4330.2171 6.8506e+14 5.9251e+14
4330.2303 6.8506e+14 5.9245e+14
4330.2435 6.8506e+14 5.9239e+14
4330.2568 6.8506e+14 5.9233e+14
4330.2700 6.8506e+14 5.9227e+14
4330.2832 6.8506e+14 5.9221e+14
4330.2965 6.8506e+14 5.9215e+14
4330.3097 6.8506e+14 5.9208e+14
4330.3229 6.8506e+14 5.9202e+14
4330.3361 6.8506e+14 5.9196e+14
4330.3494 6.8506e+14 5.9190e+14
4330.3626 6.8506e+14 5.9184e+14
4330.3758 6.8505e+14 5.9178e+14
4330.3890 6.8505e+14 5.9171e+14
4330.4023 6.8505e+14 5.9165e+14
4330.4155 6.8505e+14 5.9159e+14
4330.4287 6.8505e+14 5.9153e+14
4330.4419 6.8505e+14 5.9147e+14
4330.4552 6.8505e+14 5.9141e+14
4330.4684 6.8505e+14 5.9134e+14
4330.4816 6.8505e+14 5.9128e+14
4330.4948 6.8505e+14 5.9122e+14
4330.5081 6.8505e+14 5.9116e+14
4330.5213 6.8505e+14 5.9110e+14
4330.5345 6.8505e+14 5.9104e+14
4330.5477 6.8505e+14 5.9098e+14
4330.5610 6.8505e+14 5.9091e+14
4330.5742 6.8505e+14 5.9085e+14
4330.5874 6.8505e+14 5.9079e+14
4330.6006 6.8505e+14 5.9073e+14
4330.6139 6.8505e+14 5.9067e+14
4330.6271 6.8505e+14 5.9061e+14
4330.6403 6.8505e+14 5.9054e+14
4330.6535 6.8505e+14 5.9048e+14
4330.6668 6.8505e+14 5.9042e+14
4330.6800 6.8504e+14 5.9036e+14
4330.6932 6.8504e+14 5.9030e+14
4330.7064 6.8504e+14 5.9024e+14
4330.7197 6.8504e+14 5.9017e+14
4330.7329 6.8504e+14 5.9011e+14
4330.7461 6.8504e+14 5.9005e+14
4330.7593 6.8504e+14 5.8999e+14
4330.7726 6.8504e+14 5.8993e+14
4330.7858 6.8504e+14 5.8987e+14
4330.7990 6.8504e+14 5.8981e+14
4330.8122 6.8504e+14 5.8974e+14
4330.8255 6.8504e+14 5.8968e+14
4330.8387 6.8504e+14 5.8962e+14
4330.8519 6.8504e+14 5.8956e+14
4330.8652 6.8504e+14 5.8950e+14
4330.8784 6.8504e+14 5.8944e+14
4330.8916 6.8504e+14 5.8938e+14
4330.9048 6.8504e+14 5.8931e+14
4330.9181 6.8504e+14 5.8925e+14
4330.9313 6.8504e+14 5.8919e+14
4330.9445 6.8504e+14 5.8913e+14
4330.9577 6.8504e+14 5.8907e+14
4330.9710 6.8503e+14 5.8901e+14
4330.9842 6.8503e+14 5.8895e+14
4330.9974 6.8503e+14 5.8888e+14
4331.0106 6.8503e+14 5.8882e+14
4331.0239 6.8503e+14 5.8876e+14
4331.0371 6.8503e+14 5.8870e+14
4331.0503 6.8503e+14 5.8864e+14
4331.0635 6.8503e+14 5.8858e+14
4331.0768 6.8503e+14 5.8852e+14
4331.0900 6.8503e+14 5.8845e+14
4331.1032 6.8503e+14 5.8839e+14
4331.1164 6.8503e+14 5.8833e+14
4331.1297 6.8503e+14 5.8827e+14
4331.1429 6.8503e+14 5.8821e+14
4331.1561 6.8503e+14 5.8815e+14
4331.1693 6.8503e+14 5.8809e+14
4331.1826 6.8503e+14 5.8802e+14
4331.1958 6.8503e+14 5.8796e+14
4331.2090 6.8503e+14 5.8790e+14
4331.2222 6.8503e+14 5.8784e+14
4331.2355 6.8503e+14 5.8778e+14
4331.2487 6.8503e+14 5.8772e+14
4331.2619 6.8502e+14 5.8766e+14
4331.2751 6.8502e+14 5.8760e+14
4331.2884 6.8502e+14 5.8753e+14
4331.3016 6.8502e+14 5.8747e+14
4331.3148 6.8502e+14 5.8741e+14
4331.3280 6.8502e+14 5.8735e+14
4331.3413 6.8502e+14 5.8729e+14
4331.3545 6.8502e+14 5.8723e+14
4331.3677 6.8502e+14 5.8717e+14
4331.3810 6.8502e+14 5.8711e+14
4331.3942 6.8502e+14 5.8705e+14
4331.4074 6.8502e+14 5.8698e+14
4331.4206 6.8502e+14 5.8692e+14
4331.4339 6.8502e+14 5.8686e+14
4331.4471 6.8502e+14 5.8680e+14
4331.4603 6.8502e+14 5.8674e+14
4331.4735 6.8502e+14 5.8668e+14
4331.4868 6.8502e+14 5.8662e+14
4331.5000 6.8502e+14 5.8656e+14
4331.5132 6.8502e+14 5.8650e+14
4331.5264 6.8502e+14 5.8643e+14
4331.5397 6.8502e+14 5.8637e+14
4331.5529 6.8502e+14 5.8631e+14
4331.5661 6.8501e+14 5.8625e+14
4331.5793 6.8501e+14 5.8619e+14
4331.5926 6.8501e+14 5.8613e+14
4331.6058 6.8501e+14 5.8607e+14
4331.6190 6.8501e+14 5.8601e+14
4331.6322 6.8501e+14 5.8595e+14
4331.6455 6.8501e+14 5.8589e+14
4331.6587 6.8501e+14 5.8583e+14
4331.6719 6.8501e+14 5.8577e+14
4331.6851 6.8501e+14 5.8570e+14
4331.6984 6.8501e+14 5.8564e+14
4331.7116 6.8501e+14 5.8558e+14
4331.7248 6.8501e+14 5.8552e+14
4331.7380 6.8501e+14 5.8546e+14
4331.7513 6.8501e+14 5.8540e+14
4331.7645 6.8501e+14 5.8534e+14
4331.7777 6.8501e+14 5.8528e+14
4331.7909 6.8501e+14 5.8522e+14
4331.8042 6.8501e+14 5.8516e+14
4331.8174 6.8501e+14 5.8510e+14
4331.8306 6.8501e+14 5.8504e+14
4331.8438 6.8501e+14 5.8498e+14
4331.8571 6.8500e+14 5.8492e+14
4331.8703 6.8500e+14 5.8486e+14
4331.8835 6.8500e+14 5.8479e+14
4331.8967 6.8500e+14 5.8473e+14
4331.9100 6.8500e+14 5.8467e+14
4331.9232 6.8500e+14 5.8461e+14
4331.9364 6.8500e+14 5.8455e+14
4331.9497 6.8500e+14 5.8449e+14
4331.9629 6.8500e+14 5.8443e+14
4331.9761 6.8500e+14 5.8437e+14
4331.9893 6.8500e+14 5.8431e+14
4332.0026 6.8500e+14 5.8425e+14
4332.0158 6.8500e+14 5.8419e+14
4332.0290 6.8500e+14 5.8413e+14
4332.0422 6.8500e+14 5.8407e+14
4332.0555 6.8500e+14 5.8401e+14
4332.0687 6.8500e+14 5.8395e+14
4332.0819 6.8500e+14 5.8389e+14
4332.0951 6.8500e+14 5.8383e+14
4332.1084 6.8500e+14 5.8377e+14
4332.1216 6.8500e+14 5.8371e+14
4332.1348 6.8500e+14 5.8365e+14
4332.1480 6.8500e+14 5.8359e+14
4332.1613 6.8499e+14 5.8353e+14
4332.1745 6.8499e+14 5.8347e+14
4332.1877 6.8499e+14 5.8341e+14
4332.2009 6.8499e+14 5.8335e+14
4332.2142 6.8499e+14 5.8329e+14
4332.2274 6.8499e+14 5.8323e+14
4332.2406 6.8499e+14 5.8317e+14
4332.2538 6.8499e+14 5.8311e+14
4332.2671 6.8499e+14 5.8305e+14
4332.2803 6.8499e+14 5.8299e+14
4332.2935 6.8499e+14 5.8293e+14
4332.3067 6.8499e+14 5.8287e+14
4332.3200 6.8499e+14 5.8281e+14
4332.3332 6.8499e+14 5.8275e+14
4332.3464 6.8499e+14 5.8269e+14
4332.3596 6.8499e+14 5.8263e+14
4332.3729 6.8499e+14 5.8257e+14
4332.3861 6.8499e+14 5.8251e+14
4332.3993 6.8499e+14 5.8245e+14
4332.4125 6.8499e+14 5.8239e+14
4332.4258 6.8499e+14 5.8233e+14
4332.4390 6.8499e+14 5.8227e+14
4332.4522 6.8498e+14 5.8222e+14
4332.4654 6.8498e+14 5.8216e+14
4332.4787 6.8498e+14 5.8210e+14
4332.4919 6.8498e+14 5.8204e+14
4332.5051 6.8498e+14 5.8198e+14
4332.5184 6.8498e+14 5.8192e+14
4332.5316 6.8498e+14 5.8186e+14
4332.5448 6.8498e+14 5.8180e+14
4332.5580 6.8498e+14 5.8174e+14
4332.5713 6.8498e+14 5.8168e+14
4332.5845 6.8498e+14 5.8162e+14
4332.5977 6.8498e+14 5.8156e+14
4332.6109 6.8498e+14 5.8150e+14
4332.6242 6.8498e+14 5.8145e+14
4332.6374 6.8498e+14 5.8139e+14
4332.6506 6.8498e+14 5.8133e+14
4332.6638 6.8498e+14 5.8127e+14
4332.6771 6.8498e+14 5.8121e+14
4332.6903 6.8498e+14 5.8115e+14
4332.7035 6.8498e+14 5.8109e+14
4332.7167 6.8498e+14 5.8103e+14
4332.7300 6.8498e+14 5.8097e+14
4332.7432 6.8497e+14 5.8092e+14
4332.7564 6.8497e+14 5.8086e+14
4332.7696 6.8497e+14 5.8080e+14
4332.7829 6.8497e+14 5.8074e+14
4332.7961 6.8497e+14 5.8068e+14
4332.8093 6.8497e+14 5.8062e+14
4332.8225 6.8497e+14 5.8056e+14
4332.8358 6.8497e+14 5.8051e+14
4332.8490 6.8497e+14 5.8045e+14
4332.8622 6.8497e+14 5.8039e+14
4332.8754 6.8497e+14 5.8033e+14
4332.8887 6.8497e+14 5.8027e+14
4332.9019 6.8497e+14 5.8021e+14
4332.9151 6.8497e+14 5.8016e+14
4332.9283 6.8497e+14 5.8010e+14
4332.9416 6.8497e+14 5.8004e+14
4332.9548 6.8497e+14 5.7998e+14
4332.9680 6.8497e+14 5.7992e+14
4332.9812 6.8497e+14 5.7986e+14
4332.9945 6.8497e+14 5.7981e+14
4333.0077 6.8497e+14 5.7975e+14
4333.0209 6.8497e+14 5.7969e+14
4333.0342 6.8497e+14 5.7963e+14
4333.0474 6.8496e+14 5.7957e+14
4333.0606 6.8496e+14 5.7952e+14
4333.0738 6.8496e+14 5.7946e+14
4333.0871 6.8496e+14 5.7940e+14
4333.1003 6.8496e+14 5.7934e+14
4333.1135 6.8496e+14 5.7929e+14
4333.1267 6.8496e+14 5.7923e+14
4333.1400 6.8496e+14 5.7917e+14
4333.1532 6.8496e+14 5.7911e+14
4333.1664 6.8496e+14 5.7906e+14
4333.1796 6.8496e+14 5.7900e+14
4333.1929 6.8496e+14 5.7894e+14
4333.2061 6.8496e+14 5.7888e+14
4333.2193 6.8496e+14 5.7883e+14
4333.2325 6.8496e+14 5.7877e+14
4333.2458 6.8496e+14 5.7871e+14
4333.2590 6.8496e+14 5.7865e+14
4333.2722 6.8496e+14 5.7860e+14
4333.2854 6.8496e+14 5.7854e+14
4333.2987 6.8496e+14 5.7848e+14
4333.3119 6.8496e+14 5.7843e+14
4333.3251 6.8496e+14 5.7837e+14
4333.3383 6.8495e+14 5.7831e+14
4333.3516 6.8495e+14 5.7825e+14
4333.3648 6.8495e+14 5.7820e+14
4333.3780 6.8495e+14 5.7814e+14
4333.3912 6.8495e+14 5.7808e+14
4333.4045 6.8495e+14 5.7803e+14
4333.4177 6.8495e+14 5.7797e+14
4333.4309 6.8495e+14 5.7791e+14
4333.4441 6.8495e+14 5.7786e+14
4333.4574 6.8495e+14 5.7780e+14
4333.4706 6.8495e+14 5.7774e+14
4333.4838 6.8495e+14 5.7769e+14
4333.4970 6.8495e+14 5.7763e+14
4333.5103 6.8495e+14 5.7758e+14
4333.5235 6.8495e+14 5.7752e+14
4333.5367 6.8495e+14 5.7746e+14
4333.5499 6.8495e+14 5.7741e+14
4333.5632 6.8495e+14 5.7735e+14
4333.5764 6.8495e+14 5.7729e+14
4333.5896 6.8495e+14 5.7724e+14
4333.6029 6.8495e+14 5.7718e+14
4333.6161 6.8495e+14 5.7713e+14
4333.6293 6.8494e+14 5.7707e+14
4333.6425 6.8494e+14 5.7701e+14
4333.6558 6.8494e+14 5.7696e+14
4333.6690 6.8494e+14 5.7690e+14
4333.6822 6.8494e+14 5.7685e+14
